,id_x,location,lat_x,long_x,description,category,created_at,image_filename,user,data_id,id_y,device_name,lat_y,long_y,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time,date,month,AQI
0,669,Sector 12,28.4624872,77.0315751,Gururam bus stand,Waste Burning,2024-09-18 10:21:51.885200,1000015749.jpg,person 29,4440056,4440056,TARA076,28.448189,77.078545,6.9,6.9,15.0,,623.0,,33.9,49.0,2024-09-18 15:17:00,2024-09-18,2024-09,Good
1,679,Sector 5,28.4754994,77.0182684,It's very very harmful.. Political.. For humanity,Construction & Demolition Waste,2024-09-19 11:46:49.530159,1000015980.jpg,person 29,4440056,4440056,TARA076,28.448189,77.078545,6.9,6.9,15.0,,623.0,,33.9,49.0,2024-09-18 15:17:00,2024-09-18,2024-09,Good
2,670,Sector 7,28.4706144,77.0182238,Mostly there was a vehicle pollution because of the traffic ,Vehicle Pollution,2024-09-18 18:52:12.302061,,person 11,4431045,4431045,TARA009,28.444851,77.076416,28.5,59.8,17.07,0.84,,,35.6,50.0,2024-09-18 12:00:00,2024-09-18,2024-09,Good
3,671,Sector 5,28.4810056,77.0160124,Too many vehicles ,Vehicle Pollution,2024-09-19 03:57:17.226177,1000007501.jpg,person 14,4487808,4487808,TARA080,28.486397,77.012093,81.5,185.7,33.0,,819.0,,32.4,58.0,2024-09-19 09:17:00,2024-09-19,2024-09,Moderate
4,672,Sector 44,28.4508333,77.0728805,Sector 44,Vehicle Pollution,2024-09-19 04:18:44.228382,IMG20240919093413.jpg,person 25,4389188,4389188,TARA097,,,83.6,113.0,35.9,2.47,,,29.6,70.0,2024-09-17 19:38:00,2024-09-17,2024-09,Moderate
5,673,Sector 52,28.444363,77.0764285,Vehicle pollution ,Vehicle Pollution,2024-09-19 04:33:07.748851,1000075155.jpg,person 12,4489927,4489927,TARA010,28.444715,77.076508,61.9,80.0,14.0,0.97,,,34.7,48.0,2024-09-19 10:02:00,2024-09-19,2024-09,Moderate
6,680,Sector 7,28.470638,77.0182427,"Was at home and seen the vehicle which was doing a lot pollution , was not able to take a picture.",Vehicle Pollution,2024-09-19 18:02:03.434191,,person 11,4528022,4528022,TARA009,28.470512,77.01825,20.8,54.6,32.07,0.87,,,33.2,59.0,2024-09-19 23:30:00,2024-09-19,2024-09,Good
7,681,Ashok Vihar Phase III Extension,28.4990044,77.0298932,Ashok vihar phase III ,Vehicle Pollution,2024-09-20 13:23:24.057320,IMG20240920182230.jpg,person 25,4580985,4580985,TARA097,28.483442,77.014198,37.2,55.4,15.0,1.4,,,36.5,54.0,2024-09-20 18:37:00,2024-09-20,2024-09,Good
8,682,Sector 43,28.4540762,77.0752096,Too much pollution emmiting vehicle,Vehicle Pollution,2024-09-21 03:32:36.859200,1000007511.jpg,person 14,4623307,4623307,TARA080,28.458748,77.073486,92.7,150.4,17.03,,723.0,,36.0,52.0,2024-09-21 09:00:00,2024-09-21,2024-09,Moderate
9,683,Sector 45,28.4441644,77.0738947,Many vehicles,Vehicle Pollution,2024-09-21 03:47:25.471541,1000075385.jpg,person 12,4624054,4624054,TARA010,28.445587,77.076714,36.1,38.6,16.53,1.03,,,36.2,43.0,2024-09-21 09:15:00,2024-09-21,2024-09,Good
10,684,Sector 52,28.4443612,77.076436,Sector 52 main road ,Vehicle Pollution,2024-09-21 04:13:56.801234,IMG20240921091157.jpg,person 25,4625226,4625226,TARA097,28.4445,77.076233,95.0,158.6,14.0,1.5,,,35.1,55.0,2024-09-21 09:37:00,2024-09-21,2024-09,Moderate
11,685,Sector 43,28.4584445,77.0747686,Huda City centre ,Vehicle Pollution,2024-09-21 07:08:12.577998,,person 20,4634422,4634422,TARA093,28.445768,77.076591,54.5,83.3,26.43,0.73,,,39.0,49.0,2024-09-21 12:37:00,2024-09-21,2024-09,Moderate
12,696,Sector 5,28.480186,77.0203666,Sector 5,Brick Kilns,2024-09-22 12:24:54.706265,IMG20240922174811.jpg,person 25,4692727,4692727,TARA097,,,46.7,57.5,14.0,1.44,,,34.3,55.0,2024-09-22 09:57:00,2024-09-22,2024-09,Good
13,709,Block C-1 & C-2,28.4833888,77.0142607,"Block C-1,C-2",Vehicle Pollution,2024-09-23 11:27:39.145776,IMG20240923163057.jpg,person 25,4692727,4692727,TARA097,,,46.7,57.5,14.0,1.44,,,34.3,55.0,2024-09-22 09:57:00,2024-09-22,2024-09,Good
14,725,Sector 5,28.4786675,77.0358569,Sector 5,Vehicle Pollution,2024-09-24 11:38:58.034101,IMG20240924170758.jpg,person 25,4692727,4692727,TARA097,,,46.7,57.5,14.0,1.44,,,34.3,55.0,2024-09-22 09:57:00,2024-09-22,2024-09,Good
15,726,Sector 5,28.4814399,77.0242083,Sector 5,Vehicle Pollution,2024-09-25 03:42:35.111041,IMG20240925091110.jpg,person 25,4692727,4692727,TARA097,,,46.7,57.5,14.0,1.44,,,34.3,55.0,2024-09-22 09:57:00,2024-09-22,2024-09,Good
16,698,Sector 7,28.470607,77.0182058,Was near patuadi chowk and pm 10 and 2.5 went up on red light because of vehicular pollution and I am trying to submit data with the pic but it's not submitting the data with the photo,Vehicle Pollution,2024-09-22 14:10:44.621657,,person 11,4635419,4635419,TARA009,28.519451,77.00544,39.6,52.8,21.13,1.17,,,41.0,36.0,2024-09-21 12:57:00,2024-09-21,2024-09,Good
17,699,Sector 8,28.4506962,77.0164054,Waste burning ,Waste Burning,2024-09-22 14:36:33.292414,IMG_20240922_192203_569.jpg,person 23,4719881,4719881,TARA120,28.450676,77.016388,153.7,309.7,19.0,,587.0,,36.2,57.0,2024-09-22 19:57:00,2024-09-22,2024-09,Unhealthy
18,701,Sector 8,28.4506754,77.0164195,Waste burning,Waste Burning,2024-09-22 18:01:24.208117,IMG_20240922_204936_309.jpg,person 23,4719881,4719881,TARA120,28.450676,77.016388,153.7,309.7,19.0,,587.0,,36.2,57.0,2024-09-22 19:57:00,2024-09-22,2024-09,Unhealthy
19,700,Sector 7,28.4664371,77.0184829,Vehicle pollution,Vehicle Pollution,2024-09-22 16:30:59.241451,1000075550.jpg,person 12,4725637,4725637,TARA010,,,133.8,232.1,14.0,2.02,,,35.4,51.0,2024-09-22 22:00:00,2024-09-22,2024-09,Unhealthy for Sensitive Groups
20,702,Sector 7,28.4626141,77.0105485,Too many vehicles ,Vehicle Pollution,2024-09-23 02:49:00.093731,1000075558.jpg,person 12,4752270,4752270,TARA010,,,188.1,254.2,14.0,2.02,,,33.9,58.0,2024-09-23 08:17:00,2024-09-23,2024-09,Unhealthy
21,703,Sector 7,28.4626464,77.0105809,"Construction sites can cause poor air quality, which can lead to health problems like coughs, wheezing, and cardiovascular disease",Construction & Demolition Waste,2024-09-23 02:53:10.430655,1000075563.jpg,person 12,4752270,4752270,TARA010,,,188.1,254.2,14.0,2.02,,,33.9,58.0,2024-09-23 08:17:00,2024-09-23,2024-09,Unhealthy
22,715,Sector 44,28.4522274,77.0756933,Vehicle pollution,Vehicle Pollution,2024-09-24 03:53:30.910283,1000075645.jpg,person 12,4813048,4813048,TARA010,,,240.1,406.9,18.0,1.41,,,38.0,52.0,2024-09-24 09:22:00,2024-09-24,2024-09,Very Unhealthy
23,716,IFFCO Chowk,28.4486491,77.078466,Vehicle pollution ,Vehicle Pollution,2024-09-24 03:58:12.914862,1000008451.jpg,person 14,4813326,4813326,TARA080,28.448614,77.078484,186.2,251.3,19.73,,749.0,,36.6,60.0,2024-09-24 09:27:00,2024-09-24,2024-09,Unhealthy
24,723,Sector 26,28.4823643,77.0951126,Waste burning ,Waste Burning,2024-09-24 08:34:37.637316,1000104213.jpg,person 22,4826856,4826856,TARA065,28.481836,77.093941,143.1,214.1,67.0,1.27,,,40.4,49.0,2024-09-24 14:02:00,2024-09-24,2024-09,Unhealthy for Sensitive Groups
25,727,Sector 52,28.4456214,77.0782639,Vehicle pollution ,Vehicle Pollution,2024-09-25 03:47:44.851758,1000075715.jpg,person 12,4877884,4877884,TARA010,,,222.0,331.6,17.03,1.14,,,36.6,52.0,2024-09-25 09:17:00,2024-09-25,2024-09,Very Unhealthy
26,734,Sector 7,28.4705903,77.0182419,The censor was at the roof and pm 2.5 and pm 10 was more .,Brick Kilns,2024-09-25 16:28:16.008964,1000171497.jpg,person 11,4904394,4904394,TARA009,28.470497,77.018219,63.5,113.9,101.0,1.04,,,36.2,50.0,2024-09-25 19:05:00,2024-09-25,2024-09,Moderate
27,735,Sector 43,28.4520738,77.0765426,Vehicle pollution ,Vehicle Pollution,2024-09-26 03:26:44.366432,1000075778.jpg,person 12,4937551,4937551,TARA010,,,89.4,120.9,14.57,1.33,,,34.6,57.0,2024-09-26 08:35:00,2024-09-26,2024-09,Moderate
28,736,Sector 45,28.4445576,77.0742544,Vehicle emmiting pollution,Vehicle Pollution,2024-09-26 03:40:36.915859,1000007504.jpg,person 14,4938911,4938911,TARA080,28.445078,77.075867,71.1,123.9,15.77,,636.0,,34.6,59.0,2024-09-26 09:07:00,2024-09-26,2024-09,Moderate
29,737,Sector 49,28.402337,77.0453949,fire in the trees,Waste Burning,2024-09-26 11:22:51.315898,1000209975.jpg,person 7,4888825,4888825,TARA006,28.444689,77.076202,148.8,195.8,29.1,,740.0,,38.0,53.0,2024-09-25 13:06:00,2024-09-25,2024-09,Unhealthy for Sensitive Groups
30,739,Sector 26A,28.4294813,77.1415056,Ansal plaza GURUGRAM ,Vehicle Pollution,2024-09-27 03:09:16.479542,IMG_20240927_083649.jpg,person 20,5000648,5000648,TARA093,,,62.2,224.1,32.5,0.97,,,32.3,63.0,2024-09-27 08:36:00,2024-09-27,2024-09,Moderate
31,740,Sector 26,28.4680256,77.1095031,Too much waste garbage,Construction & Demolition Waste,2024-09-27 03:21:09.635784,IMG_20240927_084924.jpg,person 20,5000938,5000938,TARA093,,,38.0,133.8,14.0,0.86,,,33.6,61.0,2024-09-27 08:42:00,2024-09-27,2024-09,Good
32,744,Sector 5,28.4852246,77.0201455,Sector 5,Vehicle Pollution,2024-09-27 06:10:45.970242,IMG20240927113926.jpg,person 25,5009461,5009461,TARA097,,,50.9,68.8,38.0,2.5,,,31.5,62.0,2024-09-27 11:38:00,2024-09-27,2024-09,Moderate
33,745,Sector 7,28.4627323,77.0107699,Vehicle pollution,Vehicle Pollution,2024-09-27 09:41:56.860730,1000007769.jpg,person 14,5019636,5019636,TARA080,28.46282,77.010796,26.8,58.1,21.0,,532.0,,36.8,43.0,2024-09-27 15:10:00,2024-09-27,2024-09,Good
